sentence,entity,label
United Nations filed a case under Criminal Procedure Code in Mumbai.,Criminal Procedure Code,PROVISION
United Nations filed a case under Criminal Procedure Code in Mumbai.,United Nations,ORG
United Nations filed a case under Criminal Procedure Code in Mumbai.,Mumbai,LOC
"The agreement was made between Aarav Mehta and United Nations on March 5, 2023.",Aarav Mehta,PERSON
"The agreement was made between Aarav Mehta and United Nations on March 5, 2023.","March 5, 2023",DATE
"The agreement was made between Aarav Mehta and United Nations on March 5, 2023.",United Nations,ORG
Ravi Kumar from Mumbai challenged Data Protection Act on 2022/01/12.,Ravi Kumar,PERSON
Ravi Kumar from Mumbai challenged Data Protection Act on 2022/01/12.,12-01-2022,DATE
Ravi Kumar from Mumbai challenged Data Protection Act on 2022/01/12.,Data Protection Act,PROVISION
Ravi Kumar from Mumbai challenged Data Protection Act on 2022/01/12.,Mumbai,LOC
OpenAI filed a case under Criminal Procedure Code in Mumbai.,Criminal Procedure Code,PROVISION
OpenAI filed a case under Criminal Procedure Code in Mumbai.,OpenAI,ORG
OpenAI filed a case under Criminal Procedure Code in Mumbai.,Mumbai,LOC
Emma Watson from Bangalore challenged Data Protection Act on 12.01.2022.,Emma Watson,PERSON
Emma Watson from Bangalore challenged Data Protection Act on 12.01.2022.,12.01.2022,DATE
Emma Watson from Bangalore challenged Data Protection Act on 12.01.2022.,Data Protection Act,PROVISION
Emma Watson from Bangalore challenged Data Protection Act on 12.01.2022.,Bangalore,LOC
"The agreement was made between Aarav Mehta and OpenAI on March 5, 2023.",Aarav Mehta,PERSON
"The agreement was made between Aarav Mehta and OpenAI on March 5, 2023.","March 5, 2023",DATE
"The agreement was made between Aarav Mehta and OpenAI on March 5, 2023.",OpenAI,ORG
Infosys announced a policy change on 12th Jan 2022 in accordance with Criminal Procedure Code.,12th Jan 2022,DATE
Infosys announced a policy change on 12th Jan 2022 in accordance with Criminal Procedure Code.,Criminal Procedure Code,PROVISION
Infosys announced a policy change on 12th Jan 2022 in accordance with Criminal Procedure Code.,Infosys,ORG
The agreement was made between Emma Watson and OpenAI on 31st December 2024.,Emma Watson,PERSON
The agreement was made between Emma Watson and OpenAI on 31st December 2024.,31st December 2024,DATE
The agreement was made between Emma Watson and OpenAI on 31st December 2024.,OpenAI,ORG
Aarav Mehta signed the contract on 12th Jan 2022 under Section 54.,Aarav Mehta,PERSON
Aarav Mehta signed the contract on 12th Jan 2022 under Section 54.,12th Jan 2022,DATE
Aarav Mehta signed the contract on 12th Jan 2022 under Section 54.,Section 54,PROVISION
Google LLC announced a policy change on 12.01.2022 in accordance with Data Protection Act.,12.01.2022,DATE
Google LLC announced a policy change on 12.01.2022 in accordance with Data Protection Act.,Data Protection Act,PROVISION
Google LLC announced a policy change on 12.01.2022 in accordance with Data Protection Act.,Google LLC,ORG
Google LLC filed a case under Data Protection Act in London.,Data Protection Act,PROVISION
Google LLC filed a case under Data Protection Act in London.,Google LLC,ORG
Google LLC filed a case under Data Protection Act in London.,London,LOC
"According to Data Protection Act, the meeting in Bangalore was justified.",Data Protection Act,PROVISION
"According to Data Protection Act, the meeting in Bangalore was justified.",Bangalore,LOC
Google LLC announced a policy change on 31st December 2024 in accordance with Criminal Procedure Code.,31st December 2024,DATE
Google LLC announced a policy change on 31st December 2024 in accordance with Criminal Procedure Code.,Criminal Procedure Code,PROVISION
Google LLC announced a policy change on 31st December 2024 in accordance with Criminal Procedure Code.,Google LLC,ORG
Emma Watson signed the contract on 12.01.2022 under Article 21.,Emma Watson,PERSON
Emma Watson signed the contract on 12.01.2022 under Article 21.,12.01.2022,DATE
Emma Watson signed the contract on 12.01.2022 under Article 21.,Article 21,PROVISION
Tata Group filed a case under Article 21 in New York.,Article 21,PROVISION
Tata Group filed a case under Article 21 in New York.,Tata Group,ORG
Tata Group filed a case under Article 21 in New York.,New York,LOC
"According to Section 377, the meeting in London was justified.",Section 377,PROVISION
"According to Section 377, the meeting in London was justified.",London,LOC
United Nations filed a case under Data Protection Act in New York.,Data Protection Act,PROVISION
United Nations filed a case under Data Protection Act in New York.,United Nations,ORG
United Nations filed a case under Data Protection Act in New York.,New York,LOC
United Nations announced a policy change on 12.01.2022 in accordance with Criminal Procedure Code.,12.01.2022,DATE
United Nations announced a policy change on 12.01.2022 in accordance with Criminal Procedure Code.,Criminal Procedure Code,PROVISION
United Nations announced a policy change on 12.01.2022 in accordance with Criminal Procedure Code.,United Nations,ORG
John Smith from Mumbai challenged Criminal Procedure Code on 31st December 2024.,John Smith,PERSON
John Smith from Mumbai challenged Criminal Procedure Code on 31st December 2024.,31st December 2024,DATE
